,fullname,team,birthdate,country,height,weight,Onedayraces,GC,Sprint,Climber,TT,Hills,UCI-Rank,rider_url
500,Boy van Poppel,Intermarché - Wanty,18 January 1988,Netherlands,1.86,78.0,882,387,519,5,80,270,0,https://www.procyclingstats.com/rider/boy-van-poppel
501,Georg  Zimmermann,Intermarché - Wanty,11 October 1997,Germany,1.81,70.0,954,535,54,622,0,728,182,https://www.procyclingstats.com/rider/georg-zimmermann
502,Simone  Petilli,Intermarché - Wanty,4 May 1993,Italy,1.78,65.0,457,475,6,463,39,122,1717,https://www.procyclingstats.com/rider/simone-petilli
503,Arne  Marit,Intermarché - Wanty,21 January 1999,Belgium,1.85,72.0,640,80,560,12,3,405,428,https://www.procyclingstats.com/rider/arne-marit
504,Hugo  Page,Intermarché - Wanty,24 July 2001,France,1.85,71.0,545,162,244,48,77,562,248,https://www.procyclingstats.com/rider/hugo-page
505,Gijs Van Hoecke,Intermarché - Wanty,12 November 1991,Belgium,1.86,78.0,468,386,75,26,177,154,1052,https://www.procyclingstats.com/rider/gijs-van-hoecke
506,Rune  Herregodts,Intermarché - Wanty,27 July 1998,Belgium,1.81,70.0,406,281,180,156,483,258,349,https://www.procyclingstats.com/rider/rune-herregodts
507,Kobe  Goossens,Intermarché - Wanty,29 April 1996,Belgium,1.78,64.0,416,317,22,237,23,316,598,https://www.procyclingstats.com/rider/kobe-goossens
508,Madis  Mihkels,Intermarché - Wanty,31 May 2003,Estonia,1.84,75.0,479,72,306,14,72,298,136,https://www.procyclingstats.com/rider/madis-mihkels
509,Laurenz  Rex,Intermarché - Wanty,15 December 1999,Belgium,1.93,82.0,542,65,278,16,2,241,198,https://www.procyclingstats.com/rider/laurenz-rex
510,Vito  Braet,Intermarché - Wanty,2 November 2000,Belgium,1.84,68.0,357,41,206,76,8,278,214,https://www.procyclingstats.com/rider/vito-braet
511,Francesco  Busatto,Intermarché - Wanty,1 November 2002,Italy,1.72,62.0,423,43,29,132,2,270,243,https://www.procyclingstats.com/rider/francesco-busatto
512,Kevin  Colleoni,Intermarché - Wanty,11 November 1999,Italy,1.8,66.0,120,252,0,180,12,149,2076,https://www.procyclingstats.com/rider/kevin-colleoni
513,Tom  Paquot,Intermarché - Wanty,22 September 1999,Belgium,1.84,70.0,129,27,14,16,3,58,2166,https://www.procyclingstats.com/rider/tom-paquot
514,Roel van Sintmaartensdijk,Intermarché - Wanty,8 May 2001,Netherlands,1.97,77.0,49,95,52,10,56,19,740,https://www.procyclingstats.com/rider/roel-van-sintmaartensdijk
515,Dries De Pooter,Intermarché - Wanty,8 November 2002,Belgium,1.82,61.0,73,30,86,30,0,53,1436,https://www.procyclingstats.com/rider/dries-de-pooter
516,Alexy  Faure Prost,Intermarché - Wanty,22 April 2004,France,1.85,67.0,5,82,0,53,0,2,1295,https://www.procyclingstats.com/rider/alexy-faure-prost
517,Halvor  Dolven,Uno-X Mobility Development Team,13 April 2004,Norway,0.0,0.0,22,0,27,2,11,23,616,https://www.procyclingstats.com/rider/halvor-dolven
518,Loïc  Vliegen,Bingoal WB,20 December 1993,Belgium,1.84,70.0,946,786,175,172,27,550,0,https://www.procyclingstats.com/rider/loic-vliegen
519,Marco  Tizza,Bingoal WB,6 February 1992,Italy,1.73,58.0,849,218,62,238,23,636,481,https://www.procyclingstats.com/rider/marco-tizza
520,Floris De Tier,Bingoal WB,20 January 1992,Belgium,1.72,60.0,391,511,0,442,0,409,566,https://www.procyclingstats.com/rider/floris-de-tier
521,Kenneth Van Rooy,Bingoal WB,8 October 1993,Belgium,1.79,70.0,666,248,330,62,1,432,819,https://www.procyclingstats.com/rider/kenneth-van-rooy
522,Lennert  Teugels,Bingoal WB,9 April 1993,Belgium,1.75,64.0,285,310,88,122,13,317,1047,https://www.procyclingstats.com/rider/lennert-teugels
523,Dimitri  Peyskens,Bingoal WB,26 November 1991,Belgium,1.82,69.0,327,213,42,74,7,216,2122,https://www.procyclingstats.com/rider/dimitri-peyskens
524,Sasha  Weemaes,Bingoal WB,9 February 1998,Belgium,1.77,73.0,338,5,837,0,12,6,1140,https://www.procyclingstats.com/rider/sasha-weemaes
525,Luca Van Boven,Bingoal WB,6 January 2000,Belgium,1.79,68.0,203,106,34,46,2,166,342,https://www.procyclingstats.com/rider/luca-van-boven
526,Ceriel  Desal,Bingoal WB,20 October 1999,Belgium,1.9,76.0,185,50,93,4,1,18,445,https://www.procyclingstats.com/rider/ceriel-desal
527,Davide  Persico,Bingoal WB,1 April 2001,Italy,1.75,65.0,105,6,340,7,10,84,609,https://www.procyclingstats.com/rider/davide-persico
528,Alexander  Salby,Bingoal WB,4 June 1998,Denmark,1.76,68.0,32,28,463,2,0,23,1133,https://www.procyclingstats.com/rider/alexander-salby
529,Julian  Mertens,noteam,6 October 1997,Belgium,1.8,67.0,106,53,44,38,1,117,0,https://www.procyclingstats.com/rider/julian-mertens
530,Louis  Blouwe,Bingoal WB,19 November 1999,Belgium,1.82,71.0,121,12,86,21,9,102,733,https://www.procyclingstats.com/rider/louis-blouwe
531,Johan  Meens,Bingoal WB,7 July 1999,Belgium,1.74,62.0,68,51,20,62,6,120,853,https://www.procyclingstats.com/rider/johan-meens
532,Nathan  Vandepitte,Bingoal WB,30 March 2000,France,1.92,80.0,90,5,75,0,0,8,1840,https://www.procyclingstats.com/rider/nathan-vandepitte
533,Giacomo  Villa,Bingoal WB,29 January 2002,Italy,0.0,0.0,38,0,0,54,0,82,1727,https://www.procyclingstats.com/rider/giacomo-villa
534,Luca De Meester,Bingoal WB,22 January 2000,Belgium,1.87,73.0,41,5,47,0,0,6,1830,https://www.procyclingstats.com/rider/luca-de-meester
535,Jelle  Vermoote,Bingoal WB,29 August 2001,Belgium,1.85,73.0,25,11,38,0,0,11,0,https://www.procyclingstats.com/rider/jelle-vermoote
536,Aaron Van der Beken,Bingoal WB,13 November 2000,Belgium,1.83,66.0,25,6,11,16,1,26,0,https://www.procyclingstats.com/rider/aaron-van-der-beken
537,Louka  Matthys,Bingoal WB,31 December 1999,Belgium,1.82,62.0,8,7,0,24,0,20,1377,https://www.procyclingstats.com/rider/louka-matthys
538,Tom  Portsmouth,Bingoal WB,19 December 2001,Great Britain,1.81,70.0,1,0,1,0,0,12,0,https://www.procyclingstats.com/rider/tom-portsmouth
539,Axandre Van Petegem,Lidl - Trek Future Racing,13 January 2002,Belgium,0.0,0.0,0,0,1,0,10,0,0,https://www.procyclingstats.com/rider/axandre-van-petegem
540,Aaron  Gate,Burgos - BH,26 November 1990,New Zealand,1.81,71.0,323,672,298,115,549,426,117,https://www.procyclingstats.com/rider/aaron-gate
541,Jambaljamts  Sainbayar,Burgos - BH,4 September 1996,Mongolia,1.72,60.0,433,464,214,146,362,229,320,https://www.procyclingstats.com/rider/jambaljamts-sainbayar
542,Jetse  Bol,Burgos - BH,8 September 1989,Netherlands,1.84,71.0,434,524,63,231,145,281,0,https://www.procyclingstats.com/rider/jetse-bol
543,José Manuel  Díaz,Burgos - BH,18 January 1995,Spain,1.77,64.0,228,552,14,488,0,171,252,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego
544,Eric Antonio  Fagúndez,Burgos - BH,19 August 1998,Uruguay,1.8,67.0,236,259,35,53,155,158,315,https://www.procyclingstats.com/rider/eric-antonio-fagundez
545,Georgios  Bouglas,Burgos - BH,17 November 1990,Greece,1.82,71.0,165,36,718,26,180,212,631,https://www.procyclingstats.com/rider/georgios-bouglas
546,Jesús  Ezquerra,Burgos - BH,30 November 1990,Spain,1.85,68.0,193,158,98,113,160,328,2104,https://www.procyclingstats.com/rider/jesus-ezquerra-muela
547,George  Jackson,Burgos - BH,20 February 2000,New Zealand,1.89,74.0,63,158,378,20,50,66,1277,https://www.procyclingstats.com/rider/george-jackson
548,Victor  Langellotti,Burgos - BH,7 June 1995,Monaco,1.77,64.0,127,153,1,205,20,165,415,https://www.procyclingstats.com/rider/victor-langellotti
549,Mario  Aparicio,Burgos - BH,23 April 2000,Spain,1.85,69.0,10,252,1,64,14,70,405,https://www.procyclingstats.com/rider/mario-aparicio-munoz
550,Ander  Okamika,Burgos - BH,2 April 1993,Spain,1.9,70.0,75,241,18,99,15,108,660,https://www.procyclingstats.com/rider/ander-okamika
551,Antonio  Angulo,Burgos - BH,18 February 1992,Spain,1.75,67.0,71,63,144,56,4,274,1229,https://www.procyclingstats.com/rider/antonio-angulo
552,Sergio Geovani  Chumil,Burgos - BH,8 October 2000,Guatemala,0.0,0.0,80,34,40,136,43,107,479,https://www.procyclingstats.com/rider/sergio-geovani-chumil-gonzalez
553,Ángel  Fuentes,Burgos - BH,5 November 1996,Spain,1.9,77.0,83,47,32,4,43,63,1940,https://www.procyclingstats.com/rider/paniego-fuentes
554,Óscar  Pelegrí,Burgos - BH,30 May 1994,Spain,1.75,63.0,45,27,147,12,21,136,0,https://www.procyclingstats.com/rider/oscar-pelegri
555,Karel  Vacek,Burgos - BH,9 September 2000,Czech Republic,1.78,60.0,5,28,0,124,0,36,2356,https://www.procyclingstats.com/rider/karel-vacek
556,Clément  Alleno,Burgos - BH,8 October 2000,France,1.8,69.0,50,30,44,10,2,69,1502,https://www.procyclingstats.com/rider/clement-alleno
557,Sebastián  Mora,Burgos - BH,19 February 1988,Spain,1.81,70.0,29,10,68,0,56,45,0,https://www.procyclingstats.com/rider/sebastian-mora-vedri
558,Rodrigo  Álvarez,Burgos - BH,24 August 1999,Spain,1.75,65.0,0,10,21,2,0,40,1867,https://www.procyclingstats.com/rider/rodrigo-alvarez
559,Alejandro  Franco,Burgos - BH,26 September 2001,Spain,1.75,58.0,4,13,0,38,0,13,2296,https://www.procyclingstats.com/rider/alejandro-franco-gonzalez
560,Sinuhé  Fernández,Burgos - BH,15 June 2000,Spain,1.81,56.0,0,9,3,13,0,0,3063,https://www.procyclingstats.com/rider/sinuhe-fernandez-rodriguez
561,David  Delgado,Burgos - BH,13 July 2000,Spain,0.0,0.0,0,0,0,31,0,0,2357,https://www.procyclingstats.com/rider/david-delgado
562,Francesc  Bennassar,Club Ciclista Padronés - Cortizo,8 July 2002,Spain,1.92,71.0,0,0,32,0,0,7,3090,https://www.procyclingstats.com/rider/francesc-bennassar
563,Marc  Cabedo,Club Ciclista Padronés - Cortizo,28 January 2002,Spain,1.76,57.0,0,0,0,0,0,0,0,https://www.procyclingstats.com/rider/marc-cabedo
564,Martín  Rey,Club Ciclista Padronés - Cortizo,11 March 2003,Spain,1.77,65.0,0,0,0,0,0,0,1612,https://www.procyclingstats.com/rider/martin-rey-vazquez
565,Eduard  Prades,Caja Rural - Seguros RGA,9 August 1987,Spain,1.78,63.0,1062,1233,250,670,30,1264,255,https://www.procyclingstats.com/rider/eduard-prades
566,Orluis  Aular,Caja Rural - Seguros RGA,5 November 1996,Venezuela,1.76,65.0,651,374,526,263,539,868,109,https://www.procyclingstats.com/rider/orluis-aular
567,Jefferson Alveiro  Cepeda,Caja Rural - Seguros RGA,2 March 1996,Ecuador,1.7,61.0,405,510,0,318,200,193,124,https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez
568,Fernando  Barceló,Caja Rural - Seguros RGA,6 January 1996,Spain,1.74,64.0,405,309,83,448,3,546,371,https://www.procyclingstats.com/rider/fernando-barcelo
569,Sebastian  Berwick,Caja Rural - Seguros RGA,15 December 1999,Australia,1.75,59.0,24,392,7,168,5,174,1748,https://www.procyclingstats.com/rider/sebastian-berwick
570,Michal  Schlegel,Caja Rural - Seguros RGA,31 May 1995,Czech Republic,1.84,72.0,71,380,30,179,62,82,3317,https://www.procyclingstats.com/rider/michal-schlegel
571,Guillermo Thomas  Silva,Caja Rural - Seguros RGA,30 December 2001,Uruguay,1.75,64.0,269,132,38,46,20,224,150,https://www.procyclingstats.com/rider/guillermo-thomas-silva-coussan
572,Joel  Nicolau,Caja Rural - Seguros RGA,23 December 1997,Spain,1.76,66.0,195,155,40,124,8,207,411,https://www.procyclingstats.com/rider/joel-nicolau
573,Iúri  Leitão,Caja Rural - Seguros RGA,3 July 1998,Portugal,1.75,65.0,0,111,320,6,88,141,984,https://www.procyclingstats.com/rider/iuri-leitao
574,Daniel  Babor,Caja Rural - Seguros RGA,22 October 1999,Czech Republic,1.8,79.0,51,12,520,0,26,60,863,https://www.procyclingstats.com/rider/daniel-babor
575,David  González,Caja Rural - Seguros RGA,21 February 1996,Spain,1.8,68.0,93,41,188,76,5,342,543,https://www.procyclingstats.com/rider/david-gonzalez-lopez
576,Mulu Kinfe  Hailemichael,Caja Rural - Seguros RGA,12 June 1999,Ethiopia,1.58,50.0,28,88,14,64,36,82,2121,https://www.procyclingstats.com/rider/mulu-kinfe-hailemichael
577,Jokin  Murguialday,Caja Rural - Seguros RGA,19 March 2000,Spain,1.73,57.0,10,153,6,66,4,24,807,https://www.procyclingstats.com/rider/jokin-murguialday-elorza
578,Tomáš  Bárta,Caja Rural - Seguros RGA,28 April 1999,Czech Republic,1.88,79.0,73,44,438,0,6,64,1652,https://www.procyclingstats.com/rider/tomas-barta
579,Abel  Balderstone,Caja Rural - Seguros RGA,7 July 2000,Spain,1.8,61.0,25,109,0,72,33,32,1162,https://www.procyclingstats.com/rider/abel-balderstone-roumens
580,Jaume  Guardeño,Caja Rural - Seguros RGA,20 February 2003,Spain,1.75,62.0,0,66,0,60,19,26,804,https://www.procyclingstats.com/rider/jaume-guardeno
581,Joseba  López,Caja Rural - Seguros RGA,5 March 2000,Spain,1.82,66.0,22,5,0,21,0,29,1071,https://www.procyclingstats.com/rider/joseba-lopez-cuesta
582,Gorka  Sorarrain,Caja Rural - Seguros RGA,21 May 1996,Spain,1.85,74.0,11,75,28,17,0,59,653,https://www.procyclingstats.com/rider/gorka-sorarrain
583,Calum  Johnston,Caja Rural - Seguros RGA,1 November 1998,Great Britain,1.73,55.0,0,8,6,7,0,34,2334,https://www.procyclingstats.com/rider/calum-johnston
584,Samuel  Fernández,Caja Rural - Seguros RGA,11 July 2003,Spain,1.76,57.0,0,5,0,16,0,8,2787,https://www.procyclingstats.com/rider/samuel-fernandez-garcia
585,Josu  Etxeberria,Caja Rural - Seguros RGA,9 September 2000,Spain,1.78,65.0,0,0,1,0,0,7,0,https://www.procyclingstats.com/rider/josu-etxeberria-azpilikueta
586,Julen  Arriola-Bengoa,Caja Rural - Seguros RGA,16 February 2001,Spain,1.74,52.0,0,0,0,2,0,8,2126,https://www.procyclingstats.com/rider/julen-arriola-bengoa-beitia
587,Alex  Diaz,Caja Rural - Alea,28 July 2001,Spain,1.67,62.0,0,0,0,0,0,2,0,https://www.procyclingstats.com/rider/alex-diaz-alvarez
588,Javier  Ibañez,Caja Rural - Alea,29 November 2001,Spain,1.88,70.0,0,0,2,0,5,6,0,https://www.procyclingstats.com/rider/javier-ibanez-beltran-de-salazar
589,Pablo  Castrillo,Equipo Kern Pharma,2 January 2001,Spain,1.83,74.0,63,309,0,366,99,117,126,https://www.procyclingstats.com/rider/pablo-castrillo-zapater
590,Urko  Berrade,Equipo Kern Pharma,28 November 1997,Spain,1.84,72.0,62,321,12,252,110,198,206,https://www.procyclingstats.com/rider/urko-berrade-fernandez
591,José Félix  Parra,Equipo Kern Pharma,16 January 1997,Spain,1.71,55.0,87,331,0,300,0,66,318,https://www.procyclingstats.com/rider/jose-felix-parra
592,Pau  Miquel,Equipo Kern Pharma,20 August 2000,Spain,1.8,65.0,235,50,36,108,2,464,146,https://www.procyclingstats.com/rider/pau-miquel-delgado
593,Francisco  Galván,Equipo Kern Pharma,1 December 1997,Spain,1.76,69.0,254,110,139,70,37,318,389,https://www.procyclingstats.com/rider/francisco-galvan
594,Antonio Jesús  Soto,Equipo Kern Pharma,24 December 1994,Spain,1.75,66.0,218,87,114,72,40,358,727,https://www.procyclingstats.com/rider/antonio-soto
595,Jordi  López,Equipo Kern Pharma,14 August 1998,Spain,1.7,59.0,68,210,6,65,5,118,626,https://www.procyclingstats.com/rider/jordi-lopez-caravaca
596,Jon  Agirre,Equipo Kern Pharma,10 September 1997,Spain,1.73,55.0,18,125,0,128,4,25,1294,https://www.procyclingstats.com/rider/jon-agirre
597,Miguel Ángel  Fernández,Equipo Kern Pharma,21 March 1997,Spain,1.85,78.0,21,10,302,1,0,148,1686,https://www.procyclingstats.com/rider/miguel-angel-fernandez-ruiz
598,Álex  Jaime,Equipo Kern Pharma,29 September 1998,Spain,1.83,70.0,54,65,42,8,11,80,875,https://www.procyclingstats.com/rider/alex-jaime-fernandez
599,Martí  Márquez,Equipo Kern Pharma,9 February 1996,Spain,1.84,66.0,1,108,19,10,2,34,0,https://www.procyclingstats.com/rider/marti-marquez
600,Unai  Iribar,Equipo Kern Pharma,12 June 1999,Spain,1.83,64.0,63,129,3,96,1,42,444,https://www.procyclingstats.com/rider/unai-iribar-jauregi
601,Iñigo  Elosegui,Equipo Kern Pharma,6 March 1998,Spain,1.88,75.0,40,56,3,34,58,32,1555,https://www.procyclingstats.com/rider/inigo-elosegui
602,Iván  Cobo,Equipo Kern Pharma,2 January 2000,Spain,1.86,64.0,10,60,0,52,0,68,989,https://www.procyclingstats.com/rider/ivan-cobo-cayon
603,Ibon  Ruiz,Equipo Kern Pharma,30 January 1999,Spain,1.78,65.0,20,98,5,41,2,30,695,https://www.procyclingstats.com/rider/ibon-ruiz
604,Marc  Brustenga,Equipo Kern Pharma,4 September 1999,Spain,1.9,80.0,24,25,66,0,14,57,1663,https://www.procyclingstats.com/rider/marc-brustenga-masague
605,Jorge  Gutiérrez,Equipo Kern Pharma,23 September 2002,Spain,1.76,58.0,4,102,0,82,2,12,667,https://www.procyclingstats.com/rider/jorge-gutierrez-gonzalez
606,Carlos  García Pierna,Equipo Kern Pharma,23 July 1999,Spain,1.71,58.0,19,16,0,16,10,10,1677,https://www.procyclingstats.com/rider/carlos-garcia-pierna
607,Mikel  Retegi,Equipo Kern Pharma,27 April 2001,Spain,1.77,64.0,0,9,0,20,0,34,2128,https://www.procyclingstats.com/rider/mikel-retegi
608,Haimar  Etxeberria,Equipo Finisher - Kern Pharma,8 September 2003,Spain,1.77,65.0,16,0,0,2,0,8,2279,https://www.procyclingstats.com/rider/haimar-etxeberria
609,Diego  Uriarte,Equipo Kern Pharma,26 October 2001,Spain,1.8,67.0,0,12,0,2,0,2,2656,https://www.procyclingstats.com/rider/diego-uriarte-belzunegi
610,Danny van der Tuuk,Equipo Kern Pharma,5 November 1999,Poland,1.8,64.0,10,0,6,4,29,3,1860,https://www.procyclingstats.com/rider/danny-van-der-tuuk
611,Hugo  Aznar,Equipo Kern Pharma,1 December 2003,Spain,1.68,59.0,0,0,0,0,6,22,0,https://www.procyclingstats.com/rider/hugo-aznar
612,Eugenio  Sánchez,Equipo Kern Pharma,10 March 1999,Spain,1.79,64.0,5,0,0,0,0,0,0,https://www.procyclingstats.com/rider/eugenio-sanchez
613,Ibai  Azanza,Equipo Finisher - Kern Pharma,22 February 2004,Spain,1.93,74.0,0,0,0,0,0,0,0,https://www.procyclingstats.com/rider/ibai-azanza
614,Unai  Aznar,Equipo Kern Pharma,26 July 2002,Spain,1.75,68.0,0,0,0,0,8,0,3236,https://www.procyclingstats.com/rider/unai-aznar-vijuesca
615,Pablo  Carrascosa,Equipo Finisher - Kern Pharma,7 October 2002,Spain,1.78,58.0,0,0,0,4,3,1,2597,https://www.procyclingstats.com/rider/pablo-carrascosa
616,Jon  Aberasturi,Euskaltel - Euskadi,28 March 1989,Spain,1.73,69.0,767,221,1561,66,157,928,290,https://www.procyclingstats.com/rider/jon-aberasturi
617,Luis Ángel  Maté,Euskaltel - Euskadi,23 March 1984,Spain,1.78,68.0,526,1154,3,726,60,434,1021,https://www.procyclingstats.com/rider/luis-angel-mate
618,Víctor de la Parte,Euskaltel - Euskadi,22 June 1986,Spain,1.81,64.0,115,1390,0,642,627,166,1302,https://www.procyclingstats.com/rider/victor-de-la-parte
619,Mikel  Bizkarra,Euskaltel - Euskadi,21 August 1989,Spain,1.65,53.0,191,1058,4,904,28,176,472,https://www.procyclingstats.com/rider/mikel-bizkarra
620,Gotzon  Martín,Euskaltel - Euskadi,15 February 1996,Spain,0.0,0.0,324,162,95,183,0,372,719,https://www.procyclingstats.com/rider/gotzon-martin
621,Mikel  Iturria,Euskaltel - Euskadi,16 March 1992,Spain,1.85,69.0,128,273,5,210,24,136,2308,https://www.procyclingstats.com/rider/mikel-iturria
622,Joan  Bou,Euskaltel - Euskadi,16 January 1997,Spain,1.82,0.0,99,366,17,258,8,228,397,https://www.procyclingstats.com/rider/joan-bou
623,James  Fouché,Euskaltel - Euskadi,28 March 1998,New Zealand,1.86,71.0,304,47,54,11,109,90,1009,https://www.procyclingstats.com/rider/james-fouche
624,Txomin  Juaristi,Euskaltel - Euskadi,20 July 1995,Spain,1.82,67.5,44,249,0,164,257,92,758,https://www.procyclingstats.com/rider/txomin-juaristi
625,Xavier  Cañellas,Euskaltel - Euskadi,16 March 1997,Spain,1.75,66.0,136,61,143,25,1,92,1090,https://www.procyclingstats.com/rider/sanchez-canellas
626,Xabier  Berasategi,Euskaltel - Euskadi,8 April 2000,Spain,0.0,0.0,140,29,8,58,0,159,478,https://www.procyclingstats.com/rider/xabier-berasategi-garmendia
627,Unai  Cuadrado,Euskaltel - Euskadi,26 September 1997,Spain,0.0,0.0,57,42,2,36,0,32,0,https://www.procyclingstats.com/rider/unai-cuadrado
628,Andoni  López de Abetxuko,Euskaltel - Euskadi,3 August 1999,Spain,1.85,74.0,17,0,145,0,0,119,1891,https://www.procyclingstats.com/rider/andoni-lopez-de-abetxuko-jimenez
629,Ibai  Azurmendi,noteam,11 June 1996,Spain,0.0,0.0,14,50,8,21,0,42,0,https://www.procyclingstats.com/rider/ibai-azurmendi-sagastibel
630,Xabier  Isasa,Euskaltel - Euskadi,24 August 2001,Spain,1.85,0.0,5,31,0,18,22,64,2309,https://www.procyclingstats.com/rider/xabier-isasa-larranaga
631,Enekoitz  Azparren,Euskaltel - Euskadi,5 August 2002,Spain,1.8,0.0,12,8,0,10,4,7,2406,https://www.procyclingstats.com/rider/enekoitz-azparren-irurzun
632,Asier  Etxeberria,Euskaltel - Euskadi,19 July 1998,Spain,0.0,0.0,0,5,0,12,78,26,0,https://www.procyclingstats.com/rider/asier-etxeberria
633,Iker  Mintegi,Euskaltel - Euskadi,15 November 2002,Spain,0.0,0.0,4,5,0,6,0,7,1365,https://www.procyclingstats.com/rider/iker-mintegi-claver
634,Iker  Bonillo,Euskaltel - Euskadi,9 July 2003,Spain,0.0,0.0,1,0,56,0,5,1,2733,https://www.procyclingstats.com/rider/iker-bonillo-martin
635,Ander  Ganzabal,Laboral Kutxa - Fundación Ciclista Euskadi,25 January 2000,Spain,0.0,0.0,0,0,0,0,0,0,0,https://www.procyclingstats.com/rider/ander-ganzabal-bilbao
636,Unai  Zubeldia,Euskaltel - Euskadi,7 July 2003,Spain,1.87,72.0,0,0,0,0,0,0,0,https://www.procyclingstats.com/rider/unai-zubeldia
637,Nicolás  Alustiza,Euskaltel - Euskadi,4 January 2003,Spain,1.85,0.0,0,0,0,1,0,0,0,https://www.procyclingstats.com/rider/nicolas-alustiza
638,Chris  Froome,Israel - Premier Tech,20 May 1985,Great Britain,1.86,68.0,365,8296,188,6508,4389,2328,0,https://www.procyclingstats.com/rider/christopher-froome
639,Jakob  Fuglsang,Israel - Premier Tech,22 March 1985,Denmark,1.81,65.0,3639,6633,191,5796,1693,2402,494,https://www.procyclingstats.com/rider/jakob-fuglsang
640,Michael  Woods,Israel - Premier Tech,12 October 1986,Canada,1.75,62.0,3203,2225,34,4484,40,1710,115,https://www.procyclingstats.com/rider/michael-woods
641,Pascal  Ackermann,Israel - Premier Tech,17 January 1994,Germany,1.82,78.0,3481,355,3474,126,68,1925,99,https://www.procyclingstats.com/rider/pascal-ackermann
642,Dylan  Teuns,Israel - Premier Tech,1 March 1992,Belgium,1.81,64.0,2057,2706,115,2756,528,2234,172,https://www.procyclingstats.com/rider/dylan-teuns
643,George  Bennett,Israel - Premier Tech,7 April 1990,New Zealand,1.8,58.0,849,3464,20,2862,258,1040,207,https://www.procyclingstats.com/rider/george-bennett
644,Simon  Clarke,Israel - Premier Tech,18 July 1986,Australia,1.75,63.0,2416,1555,266,1374,136,1706,361,https://www.procyclingstats.com/rider/simon-clarke
645,Tom Van Asbroeck,Israel - Premier Tech,19 April 1990,Belgium,1.82,72.0,3144,526,1194,134,21,790,159,https://www.procyclingstats.com/rider/tom-van-asbroeck
646,Hugo  Hofstetter,Israel - Premier Tech,13 February 1994,France,1.7,65.0,2877,175,2044,29,0,889,223,https://www.procyclingstats.com/rider/hugo-hofstetter
647,Hugo  Houle,Israel - Premier Tech,27 September 1990,Canada,1.83,72.0,726,984,120,466,678,698,696,https://www.procyclingstats.com/rider/hugo-houle
648,Guillaume  Boivin,Israel - Premier Tech,25 May 1989,Canada,1.82,78.0,1421,457,298,66,153,361,1327,https://www.procyclingstats.com/rider/guillaume-boivin
649,Corbin  Strong,Israel - Premier Tech,30 April 2000,New Zealand,1.71,64.0,1241,334,262,325,30,1384,39,https://www.procyclingstats.com/rider/corbin-strong
650,Krists  Neilands,Israel - Premier Tech,18 August 1994,Latvia,1.89,69.0,789,717,96,427,250,624,412,https://www.procyclingstats.com/rider/krists-neilands
651,Stephen  Williams,Israel - Premier Tech,9 June 1996,Great Britain,1.83,59.0,432,806,41,424,8,776,46,https://www.procyclingstats.com/rider/stephen-williams
652,Nick  Schultz,Israel - Premier Tech,13 September 1994,Australia,1.8,68.0,422,812,15,910,65,634,292,https://www.procyclingstats.com/rider/nick-schultz
653,Rick  Zabel,noteam,7 December 1993,Germany,1.86,81.0,647,337,478,95,51,440,0,https://www.procyclingstats.com/rider/rick-zabel
654,Mads  Würtz Schmidt,Israel - Premier Tech,31 March 1994,Denmark,1.76,70.0,446,514,176,66,602,486,548,https://www.procyclingstats.com/rider/mads-wurtz-schmidt
655,Derek  Gee,Israel - Premier Tech,3 August 1997,Canada,1.89,72.0,126,455,46,638,466,317,69,https://www.procyclingstats.com/rider/derek-gee
656,Jake  Stewart,Israel - Premier Tech,2 October 1999,Great Britain,1.79,66.0,499,402,348,115,28,660,446,https://www.procyclingstats.com/rider/jake-stewart
657,Ethan  Vernon,Israel - Premier Tech,26 August 2000,Great Britain,1.88,74.0,259,92,652,73,439,626,340,https://www.procyclingstats.com/rider/ethan-vernon
658,Itamar  Einhorn,Israel - Premier Tech,20 September 1997,Israel,1.72,72.0,489,29,812,11,31,124,400,https://www.procyclingstats.com/rider/itamar-einhorn
659,Michael  Schwarzmann,Israel - Premier Tech,7 January 1991,Germany,1.74,69.0,232,278,127,48,15,310,0,https://www.procyclingstats.com/rider/michael-schwarzmann
660,Joseph  Blackmore,Israel - Premier Tech,23 February 2003,Great Britain,0.0,0.0,151,398,20,218,75,316,91,https://www.procyclingstats.com/rider/joseph-blackmore
661,Riley  Sheehan,Israel - Premier Tech,16 June 2000,United States,1.82,67.0,470,61,90,36,50,187,204,https://www.procyclingstats.com/rider/riley-sheehan
662,Matthew  Riccitello,Israel - Premier Tech,5 March 2002,United States,1.72,55.0,33,386,8,540,160,33,185,https://www.procyclingstats.com/rider/matthew-riccitello
663,Marco  Frigo,Israel - Premier Tech,2 March 2000,Italy,1.88,65.0,38,116,20,314,71,141,396,https://www.procyclingstats.com/rider/marco-frigo
664,Oded  Kogut,Israel - Premier Tech,14 February 2001,Israel,1.71,77.0,119,30,400,0,120,12,284,https://www.procyclingstats.com/rider/oded-kogut
665,Guy  Sagiv,Israel - Premier Tech,5 December 1994,Israel,1.8,68.0,131,65,1,0,88,0,1115,https://www.procyclingstats.com/rider/guy-sagiv
666,Mason  Hollyman,Israel - Premier Tech,25 June 2000,Great Britain,1.74,59.0,14,88,3,72,0,86,1580,https://www.procyclingstats.com/rider/mason-hollyman
